site,year,salinity,depth (ft)
354,2015,6.45,-0.16747
355,2015,25.3,-0.54841
369,2015,10.28,-0.27867
374,2015,24.13,-0.016855
376,2015,25.27,0.30128
377,2015,17.56,-0.4347
383,2015,14.81,0.074489
386,2015,14.51,0.0010308
387,2015,16.56,-0.047177
390,2015,10.47,0.0277
392,2015,9.76,0.27528
397,2015,20.13,0.073365
398,2015,2.52,-0.73714
399,2015,5.45,-0.26716
400,2015,3.15,0.074837
416,2015,10.29,0.014944
421,2015,25.83,0.24895
434,2015,13.78,-0.37254
461,2015,0.22,0.17591
479,2015,0.2,0.268
482,2015,NaN,0.44826
488,2015,0.15,-0.1183
489,2015,1.07,-0.66435
498,2015,4.78,0.074542
499,2015,4.22,-0.097893
501,2015,4.3,0.14148
504,2015,2.31,0.32165
507,2015,2.31,0.16724
508,2015,2.67,0.097615
513,2015,0.18,0.81717
517,2015,1.32,-0.92117
520,2015,4.52,-0.53787
523,2015,4.98,-0.60058
531,2015,1.87,-0.79907
532,2015,3.43,-1.0589
535,2015,4.3,-0.46073
541,2015,9.08,-0.9191
542,2015,0.1,NaN
543,2015,0.25,-0.93126
545,2015,0.36,-0.30286
547,2015,0.51,-0.3717
550,2015,0.17,-0.63502
551,2015,0.18,-0.47831
553,2015,1.26,0.76595
554,2015,0.7,0.53894
556,2015,0.76,1.1149
560,2015,0.36,1.4095
562,2015,2.05,0.71156
565,2015,0.25,0.91574
567,2015,0.62,0.87252
570,2015,0.34,1.5136
571,2015,2.04,0.31289
572,2015,0.4,0.66122
574,2015,0.85,0.73832
576,2015,6.04,0.29202
580,2015,3.63,-0.045427
581,2015,12.55,0.21328
583,2015,1.81,0.25815
587,2015,0.72,0.30463
590,2015,0.31,0.8923
595,2015,0.64,0.62116
603,2015,2.88,0.59406
604,2015,2.19,0.79795
605,2015,0.8,0.48597
608,2015,2.2,0.47309
609,2015,16.5,0.052498
614,2015,16.78,0.055466
616,2015,2,0.29169
618,2015,1.71,-0.14502
619,2015,1.45,0.39007
623,2015,3.25,0.067431
624,2015,0.75,0.48844
626,2015,0.96,0.38413
633,2015,3.4,0.068888
638,2015,4.61,0.29162
641,2015,4.71,0.13013
645,2015,4.47,0.37549
651,2015,5.3,0.11884
655,2015,13.44,0.27067
658,2015,4.89,0.26746
660,2015,4.54,-0.15369
661,2015,3.7,0.46779
662,2015,4.85,-0.0031339
663,2015,5.73,0.21025
665,2015,2.98,0.46157
669,2015,5.39,0.20785
672,2015,14.41,0.25323
677,2015,2.75,0.31358
682,2015,3.14,0.17521
683,2015,4.38,0.076901
684,2015,9.78,0.22087
685,2015,16.57,-0.10243
687,2015,18.1,-0.026165
697,2015,4.1,0.086179
978,2015,19.99,0.4064
1024,2015,18.69,-0.23793
1069,2015,18.66,-0.44826
1100,2015,1.34,0.16428
1130,2015,0.89,0.65567
1205,2015,4.75,0.18011
1277,2015,0.19,0.73152
1409,2015,1.02,0.44577
1446,2015,0.4,0.35343
1650,2015,2.29,-0.57498
1738,2015,9.26,0.31807
1743,2015,6.53,0.1164
1858,2015,2.22,0.2318
2041,2015,1.26,-0.68334
2154,2015,3.79,0.26896
2156,2015,4.63,0.086867
2219,2015,2.06,-0.354
2334,2015,5.51,0.22382
2418,2015,3.3,0.29147
2493,2015,1.95,0.34563
2568,2015,0.2,-0.070772
2608,2015,0.25,0.52242
2627,2015,0.79,0.58982
2634,2015,1.08,0.4054
2825,2015,8.75,-1.1105
2830,2015,1.9,-0.25678
2854,2015,2.32,-0.12517
3054,2015,0.17,-0.051872
3136,2015,0.08,-0.10179
3601,2015,11.55,0.014079
3617,2015,14.35,-0.010187
3626,2015,4.21,0.057315
3639,2015,5.49,-0.31101
3641,2015,5.55,-0.14289
3650,2015,5.26,-0.3831
3664,2015,7.72,0.078026
3680,2015,19.78,-0.25736
3784,2015,6.19,0.045089
3800,2015,7.17,0.314
3913,2015,0.4,-0.023502
3985,2015,1.46,0.23881
4014,2015,0.2,-0.50878
4016,2015,0.2,-0.11255
4045,2015,1.05,-0.46151
4094,2015,0.43,-0.14898
4103,2015,4.3,-0.25617
4107,2015,2.75,-0.37135
4406,2015,4.89,0.14349
4407,2015,1.2,0.048941
4448,2015,0.93,1.376
4455,2015,11.25,-0.17354
4529,2015,18.91,-0.2108
4551,2015,8.15,0.27284
4557,2015,19.63,-0.0061635
4572,2015,12.52,-0.23424
4596,2015,12.37,0.02178
4626,2015,NaN,0.025148
4690,2015,6.36,-0.016971
4782,2015,0.19,0.11639
4808,2015,0.24,0.43343
4900,2015,0.19,0.60276
4938,2015,0.2,0.95902
5035,2015,0.17,0.60171
5167,2015,0.16,0.3913
5255,2015,0.15,0.29136
5267,2015,0.14,0.27653
5373,2015,0.1,0.90009
5414,2015,NaN,0.50741
5452,2015,0.01,0.31939
5845,2015,0.11,0.42605
6038,2015,0.19,-0.32476
6042,2015,0.28,0.17522
6088,2015,0.06,-0.19149
6090,2015,0.03,-0.105
6209,2015,0.48,0.076395
6303,2015,3.57,-0.36346
6304,2015,0.2,-0.59061
2,2016,4.23,0.39417
3,2016,14.52,-0.31114
6,2016,2.77,0.46737
30,2016,0.54,0.1696
33,2016,0.81,0.5615
34,2016,0.42,0.39308
38,2016,0.08,0.92215
39,2016,0.16,1.4524
46,2016,0.03,0.41474
47,2016,0.22,0.25011
56,2016,0.65,0.67263
86,2016,0.04,0.48433
97,2016,0.12,0.62212
103,2016,0.01,0.47775
108,2016,10.21,-0.10039
121,2016,2.77,0.55988
125,2016,1.11,0.25313
131,2016,2.03,-0.22339
132,2016,1.97,0.032459
135,2016,3.41,-0.11682
136,2016,0.66,-0.31649
139,2016,0.17,0.39085
148,2016,0.19,-0.27173
154,2016,0.19,0.44947
156,2016,0.18,0.28337
159,2016,NaN,0.67776
163,2016,0.2,0.19151
164,2016,16.68,0.3275
171,2016,7.36,0.16419
172,2016,5.81,0.45523
173,2016,12.15,0.23715
174,2016,13.83,0.2462
175,2016,9.46,0.35225
178,2016,6.21,-0.0034495
179,2016,11.23,0.092169
181,2016,8.99,0.0186
209,2016,10.96,-0.10328
217,2016,0.04,1
220,2016,3.79,0.24562
225,2016,5.16,0.14059
226,2016,6.75,-0.098526
232,2016,4.89,0.16451
248,2016,5.23,0.078312
251,2016,6.09,0.41621
253,2016,NaN,0.088958
258,2016,2.76,0.31144
260,2016,5.33,0.16373
261,2016,1.4,0.25608
263,2016,5.95,0.24777
272,2016,10.72,0.28013
292,2016,23.18,0.10434
293,2016,16.81,-0.010858
302,2016,15.39,0.14323
303,2016,10.78,-0.2182
305,2016,1.05,-0.32148
307,2016,7.89,0.23027
309,2016,11.16,-0.115
310,2016,13.74,0.4144
311,2016,13.32,0.15419
315,2016,7.31,-0.0089409
319,2016,12.25,0.3231
322,2016,17.48,0.060256
324,2016,0.13,0.39161
326,2016,9.37,-0.14462
332,2016,3.9,-0.23971
335,2016,14.55,0.24738
336,2016,14.31,0.25048
337,2016,13.38,0.19538
338,2016,14.16,0.56231
341,2016,15.88,0.35187
345,2016,13.38,0.4624
347,2016,7.76,0.21165
354,2016,0.44,0.15003
355,2016,16.47,-0.33255
369,2016,3.96,-0.046411
374,2016,16.23,0.18814
376,2016,15.88,0.55159
377,2016,NaN,0.066773
383,2016,12.44,0.36345
386,2016,7.81,0.25653
387,2016,8.16,0.20478
390,2016,4.32,0.32496
392,2016,5.5,0.5242
397,2016,11.25,0.35899
398,2016,1.37,-0.47072
399,2016,6.49,-0.00087864
400,2016,0.81,0.39191
416,2016,5.59,0.25537
421,2016,15.67,0.41616
434,2016,1.79,-0.018759
461,2016,0.13,0.90166
479,2016,0.13,0.42385
482,2016,0.14,0.42078
488,2016,0.16,0.07769
489,2016,0.71,-0.42676
498,2016,3.67,0.38485
499,2016,4.32,0.17989
501,2016,2.28,0.41726
504,2016,5.91,0.6008
507,2016,2.41,0.44063
508,2016,2.91,0.42406
513,2016,0.44,1.0363
517,2016,0.7,-0.63739
520,2016,4.12,-0.21852
523,2016,4.92,-0.32404
531,2016,1.37,-0.46045
532,2016,1.06,-0.69351
535,2016,3.42,-0.15958
541,2016,2.85,-0.63981
542,2016,0.1,NaN
543,2016,0.33,-0.66912
545,2016,0.3,0.0023887
547,2016,0.36,0.071954
550,2016,0.3,-0.36814
551,2016,0.29,-0.25816
553,2016,1.03,1.0487
554,2016,0.47,0.83338
556,2016,0.31,1.3987
560,2016,0.23,1.7129
562,2016,1.2,1.0067
565,2016,0.16,1.1642
567,2016,0.29,0.95609
570,2016,0.17,1.8346
571,2016,1.95,0.62717
572,2016,0.21,0.91489
574,2016,0.45,1.0532
576,2016,5.21,0.60957
580,2016,2.39,0.26598
581,2016,8.44,0.71054
583,2016,1.15,0.54446
587,2016,0.69,0.79672
590,2016,0.11,1.1856
595,2016,0.63,0.95713
603,2016,1.78,0.90103
604,2016,1.16,1.1556
605,2016,1.07,0.80853
608,2016,3.38,0.74474
609,2016,7.6,0.37603
614,2016,8.6,0.24339
616,2016,2.51,0.54264
618,2016,2.88,0.18293
619,2016,1.05,0.64798
623,2016,3,0.38079
624,2016,0.99,0.78602
626,2016,NaN,0.79414
633,2016,3.91,0.33326
638,2016,4.04,0.66645
641,2016,4.92,0.49914
645,2016,2.21,0.61714
651,2016,1.5,0.48902
655,2016,13.4,0.62208
658,2016,0.36,0.59063
660,2016,4.4,0.086065
661,2016,1.93,0.79426
662,2016,1.52,0.32569
663,2016,2.26,0.54391
665,2016,3.11,0.75176
669,2016,3.5,0.54722
672,2016,13.84,0.55408
677,2016,5.28,0.64692
682,2016,2.69,0.44286
683,2016,3.09,0.37207
684,2016,3.21,0.47487
685,2016,13.66,0.16903
687,2016,8.74,0.096156
697,2016,1.54,0.39565
978,2016,18.67,0.56544
1024,2016,12.66,-0.044817
1069,2016,15.16,-0.24529
1100,2016,0.64,0.54473
1130,2016,0.46,1.027
1205,2016,3,0.48745
1277,2016,0.11,1.0603
1409,2016,0.48,0.76655
1446,2016,NaN,0.85179
1650,2016,1.18,-0.29121
1738,2016,4.1,0.50732
1743,2016,4.53,0.28397
1858,2016,5.29,0.53527
2041,2016,1.02,-0.38759
2154,2016,3.13,0.61141
2156,2016,3.85,0.41887
2219,2016,1.95,0.031941
2334,2016,NaN,0.81118
2418,2016,0.8,0.55478
2493,2016,1.17,0.60115
2568,2016,0.13,0.22783
2608,2016,0.18,0.77519
2627,2016,0.7,0.87588
2634,2016,0.18,0.5645
2825,2016,3.17,-0.81358
2830,2016,2.4,-0.0093024
2854,2016,2.17,0.14413
3054,2016,0.16,0.20629
3136,2016,0.08,0.18305
3601,2016,5.67,0.21505
3617,2016,6.76,0.22865
3626,2016,4.29,0.28067
3639,2016,0.45,-0.13869
3641,2016,2.71,0.029141
3650,2016,4.64,-0.083691
3664,2016,1.43,0.21688
3680,2016,6.1,0.0066086
3784,2016,3.97,0.28274
3800,2016,4.79,0.50353
3913,2016,0.2,0.31138
3985,2016,0.98,0.45626
4014,2016,0.15,-0.2695
4016,2016,0.15,0.099143
4045,2016,0.41,-0.20837
4094,2016,NaN,0.068025
4103,2016,1.85,0.10023
4107,2016,1.69,-0.68947
4406,2016,2.8,0.38237
4407,2016,0.43,0.2614
4448,2016,0.18,1.5805
4455,2016,10.36,0.070133
4529,2016,11.03,0.0033475
4551,2016,7.11,0.4948
4557,2016,10.03,0.23273
4572,2016,7.05,-0.00264
4596,2016,7.2,0.23546
4626,2016,0.54,0.29448
4690,2016,5.33,0.27552
4782,2016,0.12,0.25933
4808,2016,0.15,0.68043
4900,2016,0.13,1.2894
4938,2016,0.13,0.56678
5035,2016,0.13,0.65869
5167,2016,0.11,0.69476
5255,2016,0.12,0.52564
5267,2016,0.11,0.59439
5373,2016,0.1,1.0745
5414,2016,0.09,0.74184
5452,2016,0.01,0.64803
5845,2016,0.09,0.7863
6038,2016,0.14,-0.18
6042,2016,0.14,0.44152
6088,2016,0.01,0.31368
6090,2016,0.01,0.43972
6209,2016,0.49,0.46673
6303,2016,2.93,-0.14478
6304,2016,NaN,0.020878
2,2017,2.04,0.2542
3,2017,18.81,-0.39394
6,2017,0.77,0.41409
30,2017,0.67,0.036554
33,2017,0.53,0.47631
34,2017,0.26,0.24237
38,2017,0.05,0.67582
39,2017,0.19,1.4605
46,2017,0.02,0.25354
47,2017,0.1,0.08752
56,2017,0.66,0.65874
86,2017,0.55,0.21217
97,2017,0.16,0.43195
103,2017,0.18,0.29112
108,2017,12.19,-0.17806
121,2017,1.72,0.40972
125,2017,1.17,0.27027
131,2017,1.09,-0.3407
132,2017,0.92,-0.030157
135,2017,4.24,-0.13512
136,2017,0.69,-0.40146
139,2017,0.31,0.2607
148,2017,0.29,-0.25202
154,2017,0.45,0.4094
156,2017,0.59,0.22309
159,2017,1.27,0.5276
163,2017,10.54,0.08605
164,2017,20.97,0.20699
171,2017,28.71,0.081791
172,2017,19.41,0.2956
173,2017,21.58,0.16222
174,2017,20.37,0.1187
175,2017,17.79,0.25685
178,2017,21.15,-0.094986
179,2017,22.78,-0.024246
181,2017,24.35,0.017691
209,2017,17.68,-0.27625
217,2017,0.75,0.74104
220,2017,5.08,0.12363
225,2017,6.85,0.078673
226,2017,15.11,-0.2311
232,2017,14.15,0.10995
248,2017,NaN,-0.093044
251,2017,8.22,0.30562
253,2017,6.47,-0.0056042
258,2017,17.82,0.19514
260,2017,13.47,0.038043
261,2017,3.41,0.162
263,2017,12.89,0.0092119
272,2017,21.27,0.16389
292,2017,29.89,-0.0486
293,2017,13.53,-0.16538
302,2017,24.87,-0.023351
303,2017,19.84,-0.34365
305,2017,5,-0.47913
307,2017,16.46,0.097056
309,2017,15.91,-0.2608
310,2017,NaN,0.34909
311,2017,21.32,0.042242
315,2017,11.87,-0.13269
319,2017,21.54,0.26351
322,2017,19.26,-0.085063
324,2017,0.22,0.27402
326,2017,13.91,-0.26507
332,2017,15.39,-0.33201
335,2017,21.47,0.15168
336,2017,18.95,0.11458
337,2017,20.1,0.092301
338,2017,9.93,0.42501
341,2017,22.03,0.21038
345,2017,10.83,0.35718
347,2017,24.03,0.073604
354,2017,8.96,0.044033
355,2017,22.19,-0.50681
369,2017,10.86,-0.14052
374,2017,24.92,0.054304
376,2017,25.56,0.38998
377,2017,21.72,-0.10771
383,2017,22.22,0.20086
386,2017,13.39,0.22463
387,2017,13.69,0.20688
390,2017,7.75,0.24788
392,2017,NaN,0.38565
397,2017,13.84,0.22153
398,2017,6.13,-0.63139
399,2017,13.43,-0.13284
400,2017,8.66,0.4014
416,2017,12.56,0.17581
421,2017,24.1,0.29419
434,2017,10.92,-0.15128
461,2017,0.24,0.60026
479,2017,0.24,0.084879
482,2017,0.24,0.37424
488,2017,0.17,0.013315
489,2017,5.71,-0.45291
498,2017,12,0.30226
499,2017,7.02,0.12324
501,2017,1.78,0.30215
504,2017,3.62,0.64145
507,2017,1.51,0.31075
508,2017,2.25,0.33757
513,2017,0.27,1.0907
517,2017,3.16,-0.77742
520,2017,5.83,-0.36849
523,2017,8,-0.5043
531,2017,0.69,-0.48953
532,2017,1.17,-0.84684
535,2017,3.84,-0.3194
541,2017,9.53,-0.89131
542,2017,NaN,NaN
543,2017,0.33,-0.76193
545,2017,2.49,0.030551
547,2017,0.49,-0.046408
550,2017,0.78,-0.50087
551,2017,0.59,-0.44641
553,2017,0.93,0.93687
554,2017,0.75,0.75225
556,2017,0.35,1.3052
560,2017,0.15,1.5554
562,2017,0.7,0.84409
565,2017,0.11,1.0525
567,2017,0.17,0.86094
570,2017,0.16,1.7056
571,2017,0.59,0.51135
572,2017,0.17,0.85631
574,2017,0.82,0.84098
576,2017,1.96,0.44556
580,2017,1.44,0.13664
581,2017,21.5,0.51344
583,2017,0.44,0.39714
587,2017,0.27,0.55974
590,2017,0.27,1.0026
595,2017,0.37,0.7078
603,2017,1.63,0.77437
604,2017,1.61,1.0301
605,2017,0.38,0.66091
608,2017,2.78,0.59154
609,2017,12.6,0.24089
614,2017,7.32,0.076146
616,2017,0.7,0.40329
618,2017,0.64,0.055777
619,2017,0.89,0.5995
623,2017,1.15,0.21098
624,2017,0.27,0.63372
626,2017,0.31,0.54708
633,2017,1.06,0.16905
638,2017,1.84,0.53848
641,2017,2.58,0.38732
645,2017,2.58,0.44765
651,2017,1.4,0.13805
655,2017,21.74,0.4343
658,2017,4.31,0.40095
660,2017,1.75,0.014353
661,2017,1.44,0.67696
662,2017,2.05,0.15048
663,2017,2.93,0.35718
665,2017,2.43,0.76477
669,2017,2.12,0.39364
672,2017,8.88,0.42472
677,2017,1.56,0.53405
682,2017,1.02,0.4412
683,2017,1.55,0.23962
684,2017,6.08,0.3353
685,2017,7.88,0.022586
687,2017,13.11,0.10596
697,2017,3.74,0.17104
978,2017,18.73,0.47378
1024,2017,13.97,-0.12471
1069,2017,19.07,-0.36447
1100,2017,0.26,0.42356
1130,2017,0.32,0.90049
1205,2017,1.28,0.39949
1277,2017,0.07,0.97161
1409,2017,0.52,0.63667
1446,2017,0.27,0.71383
1650,2017,0.7,-0.41477
1738,2017,4.73,0.34873
1743,2017,3.23,0.12998
1858,2017,2.42,0.4986
2041,2017,0.41,-0.50516
2154,2017,NaN,0.3143
2156,2017,1.96,0.27241
2219,2017,0.98,-0.026322
2334,2017,2.36,0.60337
2418,2017,0.5,0.43407
2493,2017,0.64,0.40552
2568,2017,0.25,-0.030471
2608,2017,0.49,0.61298
2627,2017,1.4,0.8071
2634,2017,0.51,0.41515
2825,2017,12.59,-0.91813
2830,2017,0.69,-0.18932
2854,2017,0.68,0.036581
3054,2017,0.14,0.097602
3136,2017,0.1,0.06908
3601,2017,10.9,0.16108
3617,2017,10.9,0.011494
3626,2017,2,0.17467
3639,2017,1.97,-0.24074
3641,2017,3.31,-0.13075
3650,2017,3.06,-0.22768
3664,2017,4.14,0.15202
3680,2017,17.94,-0.11562
3784,2017,4.56,0.16125
3800,2017,3.03,0.33631
3913,2017,0.1,0.19142
3985,2017,0.86,0.35074
4014,2017,0.24,-0.5136
4016,2017,0.25,-0.16139
4045,2017,2.49,-0.32467
4094,2017,0.14,-0.1154
4103,2017,2.38,-0.026702
4107,2017,2.63,-0.44437
4406,2017,3.41,0.27068
4407,2017,2.2,0.21503
4448,2017,0.36,1.4446
4455,2017,16.14,-0.074099
4529,2017,17.98,-0.12546
4551,2017,5.19,0.3376
4557,2017,19.18,0.21923
4572,2017,7.83,-0.116
4596,2017,13.08,0.0052849
4626,2017,2.14,0.19059
4690,2017,12.73,0.16373
4782,2017,0.23,-0.11312
4808,2017,0.27,0.43663
4900,2017,0.24,0.8562
4938,2017,0.24,0.12624
5035,2017,0.21,0.54951
5167,2017,0.15,0.54201
5255,2017,0.15,0.36732
5267,2017,0.03,0.4083
5373,2017,0.2,1.0851
5414,2017,0.17,0.61719
5452,2017,0.01,0.43805
5845,2017,0.11,0.55591
6038,2017,0.25,-0.52404
6042,2017,0.25,0.19035
6088,2017,0.45,-0.051259
6090,2017,0.47,0.14075
6209,2017,0.19,0.27934
6303,2017,2.19,-0.25258
6304,2017,0.67,-0.15958
